source,target,value,year
CA,FR,2,2016
NL,DE,2,2016
US,AT,2,2016
US,AU,2,2016
AT,US,2,2016
ES,DE,1,2016
GB,DK,1,2016
CN,DE,1,2016
KR,US,1,2016
KR,GB,1,2016
FR,AT,1,2016
NL,US,1,2016
NL,GB,1,2016
NL,BR,1,2016
CN,GB,1,2016
NO,AT,1,2016
FR,AU,1,2016
FR,GB,1,2016
BR,DE,1,2016
NL,DK,1,2016
CA,DK,1,2016
FR,DK,1,2016
FR,DE,1,2016
US,CH,1,2016
DK,GB,1,2016
FI,DE,1,2016
GB,DE,1,2016
GB,FI,1,2016
US,FI,1,2016
AT,FR,1,2016
AT,FI,1,2016
AT,GB,1,2016
TR,GB,1,2016
NO,GB,1,2016
NO,TR,1,2016
DE,AT,1,2016
CN,AU,1,2016
CN,US,8,2017
AT,DE,6,2017
US,GB,5,2017
CA,GB,3,2017
CN,DE,3,2017
US,AT,3,2017
US,FR,3,2017
CA,US,3,2017
CN,AT,2,2017
SA,US,2,2017
US,AU,2,2017
FR,US,2,2017
US,DE,2,2017
AT,US,1,2017
US,KR,1,2017
CH,AT,1,2017
DE,AT,1,2017
CA,FR,1,2017
AE,DE,1,2017
CA,DE,1,2017
IL,US,1,2017
DE,GB,1,2017
CN,GB,1,2017
NL,DE,1,2017
NL,FR,1,2017
DE,US,1,2017
PE,US,1,2017
CZ,AT,1,2017
CZ,US,1,2017
CN,CH,1,2017
CN,SG,1,2017
GB,DE,1,2017
FR,AT,1,2017
SA,DE,1,2017
SE,US,1,2017
CN,AU,1,2017
CN,US,11,2018
CN,DE,5,2018
US,DE,4,2018
US,FR,4,2018
FR,US,3,2018
CA,US,3,2018
US,GB,3,2018
GB,DE,2,2018
GB,AU,2,2018
GB,US,2,2018
AU,US,2,2018
US,KR,2,2018
NL,US,2,2018
CH,DE,2,2018
US,AT,2,2018
AU,KR,1,2018
GB,KR,1,2018
CA,FR,1,2018
US,DK,1,2018
AU,FR,1,2018
FR,KR,1,2018
US,ES,1,2018
DE,AT,1,2018
CN,NL,1,2018
CN,CA,1,2018
ES,DE,1,2018
SA,US,1,2018
SE,GB,1,2018
CA,DE,1,2018
NL,FR,1,2018
CZ,AT,1,2018
CZ,US,1,2018
US,AU,1,2018
CN,US,11,2019
US,GB,7,2019
US,DE,6,2019
CN,DE,6,2019
CA,US,4,2019
US,FR,4,2019
CA,FR,3,2019
US,AT,3,2019
US,AU,3,2019
DE,GB,2,2019
CA,DE,2,2019
CN,CA,2,2019
CN,FR,2,2019
FR,GB,2,2019
AR,AT,1,2019
US,CH,1,2019
US,AR,1,2019
CH,AT,1,2019
CA,GB,1,2019
FR,DE,1,2019
CN,IL,1,2019
NL,AT,1,2019
IL,US,1,2019
SG,IN,1,2019
CN,IN,1,2019
CN,SG,1,2019
AT,US,1,2019
AT,DE,1,2019
AR,CH,1,2019
GB,AU,1,2019
DE,FR,1,2019
CA,AU,1,2019
US,BR,1,2019
FR,US,1,2019
NL,US,1,2019
CN,NL,1,2019
CZ,NO,1,2019
SA,FR,1,2019
SA,AT,1,2019
FR,AT,1,2019
GB,US,1,2019
GB,DE,1,2019
CA,BR,1,2019
US,CN,1,2019
US,CA,1,2019
GB,CN,1,2019
GB,CA,1,2019
SE,US,1,2019
CN,AU,1,2019
CN,GB,1,2019
CN,US,17,2020
US,DE,8,2020
CN,DE,7,2020
US,GB,5,2020
CA,US,5,2020
CN,GB,5,2020
US,FR,4,2020
US,KR,4,2020
GB,DE,3,2020
US,AU,3,2020
US,AT,3,2020
CA,GB,2,2020
CN,IL,2,2020
US,BR,2,2020
CN,AT,2,2020
SA,AT,2,2020
SA,US,2,2020
NL,DE,2,2020
US,JP,2,2020
FR,AU,2,2020
IL,US,2,2020
GB,US,1,2020
AT,DE,1,2020
CN,BR,1,2020
CH,FR,1,2020
CH,AU,1,2020
FR,BR,1,2020
CH,DK,1,2020
CZ,AR,1,2020
NO,AT,1,2020
NO,SA,1,2020
FR,DK,1,2020
DK,DE,1,2020
SE,DE,1,2020
CN,AU,1,2020
CN,FR,1,2020
IT,FR,1,2020
FR,DE,1,2020
CA,BR,1,2020
GB,AT,1,2020
DE,AT,1,2020
DE,GB,1,2020
NL,AT,1,2020
NL,GB,1,2020
CZ,NO,1,2020
IL,DE,1,2020
IN,US,1,2020
CZ,NL,1,2020
IL,AT,1,2020
CN,US,19,2021
CA,US,11,2021
US,GB,7,2021
CN,DE,6,2021
US,DE,6,2021
NL,US,4,2021
CN,SG,3,2021
US,FR,3,2021
FR,AT,3,2021
CA,FR,2,2021
NO,DE,2,2021
AT,DE,2,2021
CN,CA,2,2021
SA,AT,2,2021
FR,US,2,2021
NL,GB,2,2021
CN,GB,2,2021
AT,CH,1,2021
BE,US,1,2021
GB,AU,1,2021
CN,KR,1,2021
AE,SA,1,2021
AE,DE,1,2021
SA,DE,1,2021
FI,GB,1,2021
FI,FR,1,2021
FI,AT,1,2021
GB,FR,1,2021
GB,AT,1,2021
CH,US,1,2021
SE,FI,1,2021
CH,DE,1,2021
US,CH,1,2021
SG,AT,1,2021
CN,AT,1,2021
NL,FR,1,2021
NL,DK,1,2021
US,DK,1,2021
FR,DK,1,2021
IL,US,1,2021
US,NZ,1,2021
DE,US,1,2021
DE,GB,1,2021
US,KR,1,2021
SA,FR,1,2021
CH,GB,1,2021
GB,DE,1,2021
CH,CA,1,2021
US,CA,1,2021
GB,CA,1,2021
CN,IL,1,2021
NL,CA,1,2021
IL,DE,1,2021
US,IQ,1,2021
FI,DK,1,2021
NZ,GB,1,2021
FR,BR,1,2021
US,JP,1,2021
CH,PL,1,2021
CA,AT,1,2021
US,AT,1,2021
NL,CH,1,2021
CA,DE,1,2021
AE,US,1,2021
ES,KR,1,2021
FR,GB,1,2021
FR,DE,1,2021
AT,US,1,2021
AT,GB,1,2021
CN,AE,1,2021
CN,FR,1,2021
